fix		1 all npt temp 300 300 1 y 0 0 1000 z 0 0 1000
fix		2 all deform 1 x erate 1e-5 units box remap x

run		200000
PPPM initialization ...
  using 12-bit tables for long-range coulomb (../kspace.cpp:342)
  G vector (1/distance) = 0.17300879
  grid = 24 24 20
  stencil order = 5
  estimated absolute RMS force accuracy = 0.031818741
  estimated relative force accuracy = 9.5821193e-05
  using double precision KISS FFT
  3d grid and FFT values/proc = 1210 216
Generated 440391 of 440391 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 13
  ghost atom cutoff = 13
  binsize = 6.5, bins = 17 16 16
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/coul/long, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 23.38 | 23.72 | 24.17 Mbytes
   Step          Temp          TotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz           Volume    
      6700   301.15295      146472.91      110.47821      98.657438      96.900429      74.615303      121.45         322.59946     -220.20355      1056166      
      6800   300.72414      146000.12      110.53166      98.638296      96.856039     -231.97883     -501.80518      55.985546     -250.11686      1055988      
      6900   300.02254      145570.26      110.58511      98.615733      96.809578     -39.035989     -300.60583     -125.47744      308.9753       1055750.2    
      7000   300.52856      146210.31      110.63856      98.586028      96.767638     -388.37765     -562.83553     -216.15345     -386.14398      1055484.9    
      7100   300.16231      145816.31      110.69201      98.557169      96.723812      3.2368775     -578.2708       427.99151      159.98993      1055207.5    
      7200   298.59781      145386.17      110.74546      98.534697      96.68237      -155.56187     -490.71407     -109.42929      133.45774      1055024.1    
      7300   300.1102       145634.19      110.7989       98.513219      96.64892      -367.90269     -546.55916     -371.65515     -185.49377      1054938.1    
      7400   298.93253      145253.03      110.85235      98.490141      96.614906      4.3485635     -300.1474       301.70748      11.485611      1054828.4    
      7500   297.83127      145182.23      110.9058       98.470947      96.578264     -454.667       -518.07248     -30.706603     -815.2219       1054731.2    
      7600   300.47133      145786.57      110.95925      98.455288      96.541731     -343.44456     -458.79895     -554.78337     -16.751345      1054672.6    
      7700   299.65078      146091.1       111.0127       98.43632       96.512562      12.3465       -143.40743      293.63715     -113.19023      1054658.5    
      7800   299.62956      145207.53      111.06615      98.42038       96.487921     -309.8393      -457.72485     -58.708206     -413.08485      1054726.1    
      7900   301.15237      146011.4       111.1196       98.402245      96.46036      -189.17567     -37.567825     -344.86451     -185.09466      1054737.9    
      8000   299.85203      145777.24      111.17304      98.377999      96.431459     -529.48843     -765.85959     -387.34843     -435.25727      1054669.1    
      8100   298.92238      145348.9       111.22649      98.35128       96.394697     -328.41404     -541.8337      -291.17165     -152.23677      1054487.4    
      8200   299.18029      145545.34      111.27994      98.327789      96.349976     -108.67619     -392.34022     -248.05639      314.36802      1054252.8    
      8300   300.0527       145581.98      111.33339      98.301632      96.309408     -363.39869     -231.0331      -422.34674     -436.81623      1054034.6    
      8400   298.88086      145079.99      111.38684      98.269188      96.27035       66.280455     -65.930377      157.44084      107.3309       1053765.1    
      8500   301.3615       146450.83      111.44029      98.236067      96.235915     -577.14855     -1019.2714     -441.45059     -270.72367      1053538.4    
      8600   299.45487      145372.18      111.49374      98.204602      96.203061     -75.575338     -351.26818     -33.911482      158.45364      1053346.4    
      8700   299.08435      145385.93      111.54718      98.173891      96.167112     -167.51319     -273.89302     -84.47731      -144.16923      1053128.1    
      8800   299.01002      145251.42      111.60063      98.139043      96.128547     -318.42216     -815.12244     -32.903409     -107.24062      1052836.3    
      8900   298.89523      145262.94      111.65408      98.101185      96.091549     -220.3339      -202.45871     -194.72196     -263.82102      1052529      
      9000   299.66601      145478.87      111.70753      98.070089      96.05515      -285.42541     -936.46056      314.27827     -234.09395      1052300.3    
      9100   299.5505       145508.57      111.76098      98.041444      96.019149     -221.79871     -154.8122      -342.09304     -168.49089      1052101.8    
      9200   300.57106      145755.87      111.81443      98.005934      95.983885     -194.05923      22.796178     -488.72731     -116.24654      1051837.2    
      9300   300.47538      145770.38      111.86788      97.968658      95.957621     -5.8594156     -440.46762     -21.422622      444.312        1051651.9    
      9400   297.97955      144871.65      111.92132      97.938524      95.932599     -329.54421     -492.50856     -8.2000486     -487.92403      1051556.5    
      9500   300.33291      145872.15      111.97477      97.912076      95.898495     -116.41502     -566.07699     -276.22724      493.05917      1051400.7    
      9600   299.07757      145492.46      112.02822      97.890493      95.872669     -27.020403     -69.379495      225.15353     -236.83524      1051387.4    
      9700   299.16992      145347.35      112.08167      97.878706      95.855225     -162.68838     -393.20033     -288.52186      193.65706      1051571      
      9800   300.23877      145746.69      112.13512      97.867708      95.837412     -9.1821663     -322.0803       355.68172     -61.147914      1051758.8    
      9900   299.39466      145349.35      112.18857      97.857997      95.816007     -155.3194      -76.359679     -207.27688     -182.32165      1051920.7    
     10000   299.51605      145192.54      112.24202      97.845013      95.79081      -67.708294     -15.307096      135.80778     -323.62557      1052005.5    
     10100   300.38275      145937.5       112.29546      97.833604      95.764745     -156.10506     -620.83641      45.533682      106.98755      1052097.4    
     10200   300.31673      145504.43      112.34891      97.812988      95.733456      11.396055      105.63584     -8.9283452     -62.519327      1052032.5    
     10300   302.47421      146010.56      112.40236      97.785085      95.702428     -145.77186     -631.55889      10.295135      183.94816      1051891.7    
     10400   299.77775      145500.37      112.45581      97.739785      95.660216     -399.22567     -323.48233     -513.37411     -360.82059      1051440.3    
     10500   299.06278      145549.43      112.50926      97.695299      95.625574     -8.0700701     -462.11707     -1.8480208      439.75488      1051080.5    
     10600   300.26686      145391.23      112.56271      97.653597      95.594856     -552.16713     -549.13443     -479.95784     -627.40913      1050793.3    
     10700   299.58111      144985.41      112.61616      97.609334      95.558297     -331.17006     -809.9244       36.662684     -220.24845      1050413.9    
     10800   300.95559      145758.85      112.6696       97.569103      95.521092     -417.70121     -353.72029     -356.98442     -542.39891      1050070.3    
     10900   300.69635      145706.31      112.72305      97.530029      95.476884     -135.73448     -606.63276      520.74994     -321.32062      1049661.7    
     11000   299.40078      144936.2       112.7765       97.509141      95.430265     -190.56945     -395.19142     -302.66435      126.14742      1049421.8    
     11100   300.57882      145834.62      112.82995      97.492022      95.389132     -310.67929     -421.14594      0.35009517    -511.24201      1049282.4    
     11200   299.65884      145108.78      112.8834       97.475495      95.348118     -225.11747     -568.33601     -78.389879     -28.626539      1049150.2    
     11300   299.09696      145015.89      112.93685      97.460999      95.307115     -255.82476     -826.14693     -106.55989      165.23255      1049039.5    
     11400   300.38853      145380.33      112.9903       97.439516      95.268202     -451.02938     -802.59515     -283.39593     -267.09707      1048876.2    
     11500   299.21941      145367.02      113.04375      97.418372      95.23278      -294.33998     -646.81406      83.556363     -319.76224      1048754.6    
     11600   300.89053      145721.05      113.09719      97.399771      95.188235     -461.30407     -704.18723     -134.03134     -545.69362      1048559.4    
     11700   300.91595      145671.76      113.15064      97.383614      95.138032      112.47695      124.65175      53.439338      159.33977      1048327.7    
     11800   299.36905      145109.87      113.20409      97.366696      95.095926     -238.13991     -829.13832      253.72126     -139.00268      1048176.6    
     11900   299.66374      144865.59      113.25754      97.345617      95.056914     -725.40037     -1039.8101     -263.63345     -872.75758      1048014.4    
     12000   299.4008       145505.55      113.31099      97.321408      95.015184      56.232935     -261.78629      20.894301      409.59079      1047788      
     12100   298.20634      144866.26      113.36444      97.283797      94.979481     -202.45287     -431.13912     -181.23008      5.0105768      1047483.4    
     12200   299.05038      144932.67      113.41789      97.247622      94.95093      -515.70368     -575.74875     -337.06947     -634.29281      1047272.6    
     12300   300.78839      145536.83      113.47133      97.202476      94.919114     -125.92062     -590.58727      69.840889      142.98453      1046928.8    
     12400   300.82296      145650.05      113.52478      97.159414      94.888738     -515.40229     -953.68169     -46.547315     -545.97785      1046622.9    
     12500   299.88946      145240.94      113.57823      97.120607      94.858964     -36.448563     -286.34973      68.691543      108.3125       1046369      
     12600   299.7119       145875.49      113.63168      97.081237      94.831926     -419.15354     -486.99644     -429.47566     -340.98853      1046138.8    
     12700   299.93124      145540.81      113.68513      97.039752      94.799526     -423.06218     -368.76882     -798.08166     -102.33608      1045826.1    
     12800   300.2075       145283.81      113.73858      96.999337      94.766277     -273.58863     -763.22701      148.1227      -205.66159      1045515.3    
     12900   299.3446       145366.42      113.79203      96.960783      94.736307     -160.34933     -120.50597     -220.18417     -140.35783      1045260.1    
     13000   299.60166      145068.24      113.84547      96.919136      94.70825      -331.39992     -1000.4944     -115.67257      121.96717      1044992.4    
     13100   299.73279      145362.23      113.89892      96.880894      94.681799     -213.49331     -567.01179      6.1531963     -79.621324      1044778.6    
     13200   300.34377      145378.39      113.95237      96.854827      94.657484     -215.63939     -517.21531     -46.607628     -83.095242      1044719.2    
     13300   300.55961      146061.1       114.00582      96.830001      94.629079     -121.39749     -733.18384      211.47852      157.51284      1044627.8    
     13400   300.47758      145608.23      114.05927      96.812148      94.601735     -543.76561     -981.03744     -381.88379     -268.3756       1044622.9    
     13500   301.15969      145923.81      114.11272      96.795063      94.571607     -134.59986     -566.43186      319.25232     -156.62005      1044595.2    
     13600   299.80137      145127.8       114.16617      96.779465      94.543016     -444.88467     -640.79681     -406.28701     -287.57017      1044600.1    
     13700   300.00717      145307.08      114.21961      96.758216      94.517826     -313.43677     -867.98217     -262.61515      190.287        1044581.3    
     13800   301.02078      145446.43      114.27306      96.731786      94.487742     -90.855041     -344.44529      266.83925     -194.95908      1044452.1    
     13900   302.03731      145527.01      114.32651      96.704106      94.45616      -240.20297     -384.38272     -106.35219     -229.87399      1044292.5    
     14000   299.89332      145641.81      114.37996      96.685788      94.433602     -243.09681     -545.60181      221.46838     -405.15701      1044333.3    
     14100   298.77562      144509.24      114.43341      96.669171      94.417554     -364.07253     -831.59356     -549.43287      288.80883      1044464.2    
     14200   299.22797      145039.29      114.48686      96.64782       94.405018     -454.53681     -957.253       -36.477368     -369.88006      1044582.6    
     14300   299.3679       145281.32      114.54031      96.625708      94.387611     -308.39118     -357.35351     -166.36817     -401.45186      1044638.5    
     14400   298.72573      145045.77      114.59375      96.600491      94.36755      -489.77973     -600.607       -456.94277     -411.78943      1044631.1    
     14500   298.53175      144648.91      114.6472       96.573854      94.349548     -165.37438     -767.82212      373.68423     -101.98525      1044630.9    
     14600   300.26935      145235.76      114.70065      96.548839      94.323619     -285.52407     -441.053       -12.563099     -402.95612      1044560      
     14700   299.14991      144998.2       114.7541       96.523534      94.28596      -291.10947     -757.46404     -147.5861       31.721736      1044355.7    
     14800   301.85463      146037.86      114.80755      96.496896      94.244991     -415.02829     -724.39452     -263.55958     -257.13079      1044099.9    
     14900   301.04142      145648.57      114.861        96.476233      94.212345     -291.63982     -659.05042     -332.06104      116.19201      1044000.6    
     15000   300.71336      145487.37      114.91445      96.455137      94.185645     -213.9024      -586.6662       82.94417      -137.98516      1043962      
     15100   299.16028      144913.6       114.96789      96.433065      94.158816     -437.43243     -516.26146     -637.10792     -158.92791      1043911.1    
     15200   300.70916      145082.57      115.02134      96.407934      94.133602     -277.05156     -913.76323      124.745       -42.136435      1043844.7    
     15300   300.0487       145073.01      115.07479      96.389878      94.109534     -472.50041     -700.98367     -366.09764     -350.41992      1043867.2    
     15400   301.50497      145532.04      115.12824      96.378643      94.081472     -105.27103     -257.48771      137.15333     -195.47871      1043918.9    
     15500   300.72999      145260.89      115.18169      96.369292      94.048519     -34.670352     -345.54042      82.568931      158.96043      1043936.5    
     15600   301.52681      145578.17      115.23514      96.350547      94.010392     -357.63278     -245.7187      -293.57004     -533.60959      1043794.4    
     15700   299.72008      145159         115.28859      96.319388      93.970202     -54.592379     -673.65101      246.16084      263.71303      1043494.5    
     15800   299.73126      145081.65      115.34203      96.291622      93.939347      59.968389     -204.37601      425.53487     -41.253689      1043334.7    
     15900   299.97333      145179.81      115.39548      96.272823      93.91058      -121.64584     -819.05859     -154.13267      608.25372      1043294.8    
     16000   298.80155      144690.71      115.44893      96.259168      93.892106     -308.05262     -683.18579      61.781517     -302.75358      1043424.7    
     16100   299.96615      144924.5       115.50238      96.234649      93.868584     -279.78397     -647.94984     -572.31716      380.91508      1043380.4    
     16200   299.52151      145177.04      115.55583      96.202791      93.847426     -631.04961     -715.0001      -68.174987     -1109.9737      1043282.4    
     16300   298.65033      144404.46      115.60928      96.169004      93.814224     -640.32507     -903.38686     -752.85759     -264.73076      1043029.3    
     16400   298.3456       144584.97      115.66273      96.131538      93.775905     -189.76681     -647.93257      8.5429622      70.089164      1042678.9    
     16500   299.99266      145134.27      115.71617      96.100161      93.738635     -317.7253      -417.14592     -216.48792     -319.54208      1042405.8    
     16600   298.89733      144773.74      115.76962      96.067183      93.699947     -221.17513     -606.80585     -89.251057      32.531524      1042099.1    
     16700   300.29264      145000.61      115.82307      96.038236      93.66102      -245.79292     -759.55574     -52.293347      74.470315      1041833.1    
     16800   300.91251      145218.05      115.87652      96.011856      93.635809     -120.19102     -691.9395       88.362142      243.00428      1041747      
     16900   301.06896      145214.22      115.92997      95.985951      93.613024     -194.4613      -682.17008      96.993119      1.7930699      1041692.8    
     17000   301.24401      145855.32      115.98342      95.961045      93.590448     -189.50194     -614.21672      178.13195     -132.42106      1041651.4    
     17100   299.72501      145178.08      116.03687      95.936876      93.573113     -149.9904      -370.95064      108.09411     -187.11466      1041676      
     17200   299.40889      144670.58      116.09031      95.918645      93.556373     -478.15323     -1020.3053     -161.24055     -252.91381      1041771.3    
     17300   299.44446      144576.14      116.14376      95.901203      93.542392      52.071942     -308.02281      163.51691      300.72172      1041905.7    
     17400   300.54166      145304.57      116.19721      95.878552      93.529864     -360.84439     -620.29775     -232.3345      -229.90091      1041999.4    
     17500   299.43389      145192.73      116.25066      95.848655      93.506625     -100.09154     -342.34474      31.65226       10.417861      1041894.7    
     17600   298.26624      144730.54      116.30411      95.819233      93.483286     -678.79966     -1138.0272     -459.86412     -438.50769      1041793.7    
     17700   300.33101      144774.96      116.35756      95.786751      93.453439     -576.83247     -863.42836     -402.08191     -464.98713      1041586.5    
     17800   300.95156      145568.07      116.41101      95.752997      93.423722     -309.99898     -473.45639     -203.19014     -253.35042      1041366.5    
     17900   299.10309      145248.9       116.46445      95.716024      93.396586     -157.77798     -447.74815     -130.96539      105.3796       1041139.8    
     18000   299.61441      144943.64      116.5179       95.679893      93.36953      -62.958687     -770.55438      441.43271      140.24561      1040922.8    
     18100   300.01382      145157.82      116.57135      95.645136      93.339538     -517.91411     -704.54978     -455.76769     -393.42486      1040687.6    
     18200   299.97742      145012.8       116.6248       95.602787      93.309927     -396.40839     -728.2403      -152.14517     -308.83971      1040373.6    
     18300   299.53177      144571.47      116.67825      95.559762      93.275521     -238.98616     -506.73816     -229.68431      19.463987      1039998.3    
     18400   300.43508      144829         116.7317       95.522757      93.242921     -174.18859     -655.26536      260.02297     -127.32338      1039708.3    
     18500   300.05481      145137.72      116.78515      95.489135      93.21738      -534.56845     -579.26752     -689.14447     -335.29337      1039533.4    
